Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2021,2,11,00:00,UTC,0.1,43,-17.9,-,-13.7,-21.4
2021,2,11,06:00,UTC,-,-,-,-23,-,-
2021,2,12,00:00,UTC,0.1,43,-15.7,-,-8.6,-24.4
2021,2,12,06:00,UTC,-,-,-,-25.6,-,-
2021,2,13,00:00,UTC,0.1,43,-5.5,-,-3.2,-14.1
2021,2,13,06:00,UTC,-,-,-,-17.8,-,-
2021,2,14,00:00,UTC,0.1,43,-6.6,-,-3.8,-8.6
2021,2,14,06:00,UTC,-,-,-,-9.4,-,-
2021,2,15,00:00,UTC,0,44,-9.4,-,-4.8,-17.1
2021,2,15,06:00,UTC,-,-,-,-19.2,-,-
2021,2,16,00:00,UTC,0,44,-7.3,-,-2.9,-11.7
2021,2,16,06:00,UTC,-,-,-,-11.6,-,-
2021,2,17,00:00,UTC,-1,44,-16.6,-,-11.4,-18.7
2021,2,17,06:00,UTC,-,-,-,-22.2,-,-
2021,2,18,00:00,UTC,0.1,44,-17.3,-,-8.6,-26.8
2021,2,18,06:00,UTC,-,-,-,-28.1,-,-
2021,2,19,00:00,UTC,0.1,44,-6.8,-,-5.6,-16.4
2021,2,19,06:00,UTC,-,-,-,-17,-,-
2021,2,20,00:00,UTC,5.9,44,-3.6,-,-0.1,-7.1
2021,2,20,06:00,UTC,-,-,-,-8,-,-
2021,2,21,00:00,UTC,4.9,45,-0.4,-,2.9,-5.7
2021,2,21,06:00,UTC,-,-,-,-0.1,-,-
2021,2,22,00:00,UTC,0.6,44,-8.2,-,-3.8,-9.6
2021,2,22,06:00,UTC,-,-,-,-7.6,-,-
2021,2,23,00:00,UTC,2.9,45,-6,-,-3.2,-10.5
2021,2,23,06:00,UTC,-,-,-,-10.4,-,-
2021,2,24,00:00,UTC,0.2,45,-1.4,-,3,-5.8
2021,2,24,06:00,UTC,-,-,-,-5.5,-,-
2021,2,25,00:00,UTC,0.8,43,2.7,-,4.5,1.8
2021,2,25,06:00,UTC,-,-,-,2,-,-
2021,2,26,00:00,UTC,0.1,34,2.7,-,4,1.5
2021,2,26,06:00,UTC,-,-,-,1.6,-,-
2021,2,27,00:00,UTC,0.7,31,1.6,-,4.4,0.1
2021,2,27,06:00,UTC,-,-,-,-0.7,-,-
2021,2,28,00:00,UTC,-1,31,3.7,-,7.7,0.2
2021,2,28,06:00,UTC,-,-,-,-1.5,-,-
2021,3,1,00:00,UTC,-1,31,2.9,-,5.6,-1.3
2021,3,1,06:00,UTC,-,-,-,-2.3,-,-
2021,3,2,00:00,UTC,-1,30,2.9,-,5.4,1.5
2021,3,2,06:00,UTC,-,-,-,0.4,-,-
2021,3,3,00:00,UTC,0.2,30,2,-,6.5,-2.1
2021,3,3,06:00,UTC,-,-,-,-3.6,-,-
2021,3,4,00:00,UTC,0.2,28,-2.4,-,2.7,-5.2
2021,3,4,06:00,UTC,-,-,-,-4.8,-,-
2021,3,5,00:00,UTC,-1,29,-5.4,-,-1.5,-9.9
2021,3,5,06:00,UTC,-,-,-,-10,-,-
2021,3,6,00:00,UTC,2.2,29,-2.7,-,2.1,-10.7
2021,3,6,06:00,UTC,-,-,-,-13.5,-,-
2021,3,7,00:00,UTC,1,33,-4.8,-,1.2,-7.1
2021,3,7,06:00,UTC,-,-,-,-9,-,-
2021,3,8,00:00,UTC,1.3,34,-7.8,-,-3.9,-10.9
2021,3,8,06:00,UTC,-,-,-,-10.2,-,-
2021,3,9,00:00,UTC,3,29,-8.7,-,-4.4,-14.5
2021,3,9,06:00,UTC,-,-,-,-16.3,-,-
2021,3,10,00:00,UTC,0,32,-13.1,-,-8.6,-17.4
2021,3,10,06:00,UTC,-,-,-,-17.6,-,-
2021,3,11,00:00,UTC,1.5,31,-4.7,-,-0.9,-15.2
2021,3,11,06:00,UTC,-,-,-,-17.2,-,-
2021,3,12,00:00,UTC,2.1,33,-2,-,-1.1,-3.6
2021,3,12,06:00,UTC,-,-,-,-3.8,-,-
2021,3,13,00:00,UTC,1.8,36,1.1,-,2.7,-1.8
2021,3,13,06:00,UTC,-,-,-,-1.9,-,-
2021,3,14,00:00,UTC,5.1,28,0.4,-,1.3,0.1
2021,3,14,06:00,UTC,-,-,-,0,-,-
2021,3,15,00:00,UTC,0.6,30,0.7,-,1.6,-0.2
2021,3,15,06:00,UTC,-,-,-,-0.2,-,-
2021,3,16,00:00,UTC,0.9,28,-0.1,-,1.9,-1.4
2021,3,16,06:00,UTC,-,-,-,-2.2,-,-
2021,3,17,00:00,UTC,0.7,28,-0.6,-,2,-4.9
2021,3,17,06:00,UTC,-,-,-,-8.3,-,-
2021,3,18,00:00,UTC,0.1,28,-3.5,-,0.3,-6.8
2021,3,18,06:00,UTC,-,-,-,-9.3,-,-
2021,3,19,00:00,UTC,0.1,28,-6.6,-,-2.7,-8.7
2021,3,19,06:00,UTC,-,-,-,-9.6,-,-
2021,3,20,00:00,UTC,2.3,28,-2.8,-,0.2,-13.5
2021,3,20,06:00,UTC,-,-,-,-14.8,-,-
2021,3,21,00:00,UTC,0,29,1,-,2.7,-0.1
2021,3,21,06:00,UTC,-,-,-,-1,-,-
2021,3,22,00:00,UTC,-1,28,-2.4,-,2,-5
2021,3,22,06:00,UTC,-,-,-,-5.8,-,-
2021,3,23,00:00,UTC,0,27,-0.1,-,7,-10
2021,3,23,06:00,UTC,-,-,-,-11,-,-
2021,3,24,00:00,UTC,-1,27,1.9,-,4.6,0
2021,3,24,06:00,UTC,-,-,-,-1.5,-,-
2021,3,25,00:00,UTC,0.4,23,3.3,-,8.2,1
2021,3,25,06:00,UTC,-,-,-,0.9,-,-
2021,3,26,00:00,UTC,-1,22,2.6,-,8.4,-0.1
2021,3,26,06:00,UTC,-,-,-,-5,-,-
2021,3,27,00:00,UTC,0,18,4.3,-,9.6,0.1
2021,3,27,06:00,UTC,-,-,-,-1.8,-,-
2021,3,28,00:00,UTC,0.3,14,4,-,7.3,0.4
2021,3,28,06:00,UTC,-,-,-,-0.5,-,-
2021,3,29,00:00,UTC,8.9,13,3.7,-,4.8,2.2
2021,3,29,06:00,UTC,-,-,-,1,-,-
2021,3,30,00:00,UTC,0.8,8,5.5,-,8,4.1
2021,3,30,06:00,UTC,-,-,-,3.5,-,-
2021,3,31,00:00,UTC,-1,2,5,-,9.8,1.5
2021,3,31,06:00,UTC,-,-,-,-1.4,-,-
2021,4,1,00:00,UTC,-1,0,3.9,-,9.2,-1.3
2021,4,1,06:00,UTC,-,-,-,-2.2,-,-
2021,4,2,00:00,UTC,0,-1,2.9,-,6.5,0.1
2021,4,2,06:00,UTC,-,-,-,-1.4,-,-
2021,4,3,00:00,UTC,-1,-1,3,-,7.4,0.4
2021,4,3,06:00,UTC,-,-,-,-0.2,-,-
2021,4,4,00:00,UTC,5.7,-1,4.3,-,10.1,-1.9
2021,4,4,06:00,UTC,-,-,-,-3.6,-,-
2021,4,5,00:00,UTC,5.6,-1,2.3,-,4.1,0.4
2021,4,5,06:00,UTC,-,-,-,2.6,-,-
2021,4,6,00:00,UTC,0.1,0,2,-,5.6,-0.8
2021,4,6,06:00,UTC,-,-,-,-1.7,-,-
2021,4,7,00:00,UTC,0,-1,3,-,6.4,1.5
2021,4,7,06:00,UTC,-,-,-,1.3,-,-
2021,4,8,00:00,UTC,0,-1,2.8,-,7.3,-0.4
2021,4,8,06:00,UTC,-,-,-,-0.8,-,-
2021,4,9,00:00,UTC,10.3,-1,2.1,-,3.1,-2.7
2021,4,9,06:00,UTC,-,-,-,-5.5,-,-
2021,4,10,00:00,UTC,5.6,-1,2.9,-,4.8,0.2
2021,4,10,06:00,UTC,-,-,-,2.4,-,-
2021,4,11,00:00,UTC,0.1,-1,5.8,-,10.7,0.8
2021,4,11,06:00,UTC,-,-,-,-0.4,-,-
2021,4,12,00:00,UTC,0,-,9.2,-,14.6,4.6
2021,4,12,06:00,UTC,-,-,-,3.5,-,-
2021,4,13,00:00,UTC,-1,-1,6.2,-,10.5,4.6
2021,4,13,06:00,UTC,-,-,-,4.6,-,-
2021,4,14,00:00,UTC,-1,-1,3.5,-,9,-2
2021,4,14,06:00,UTC,-,-,-,-5.2,-,-
2021,4,15,00:00,UTC,-1,-1,4.6,-,12.2,-2.4
2021,4,15,06:00,UTC,-,-,-,-3,-,-
2021,4,16,00:00,UTC,-1,-1,7.5,-,14.4,-0.8
2021,4,16,06:00,UTC,-,-,-,-1.1,-,-
2021,4,17,00:00,UTC,-1,-1,10,-,17.2,3
2021,4,17,06:00,UTC,-,-,-,2.8,-,-
2021,4,18,00:00,UTC,-1,-1,9.2,-,16.4,3.5
2021,4,18,06:00,UTC,-,-,-,2.4,-,-
2021,4,19,00:00,UTC,-1,-1,8.1,-,14.6,1.5
2021,4,19,06:00,UTC,-,-,-,2.2,-,-
2021,4,20,00:00,UTC,-1,-1,7.3,-,12.8,0.8
2021,4,20,06:00,UTC,-,-,-,-0.1,-,-
2021,4,21,00:00,UTC,-1,-1,6.6,-,13,0.5
2021,4,21,06:00,UTC,-,-,-,-0.1,-,-
2021,4,22,00:00,UTC,7.5,-1,5.1,-,12.1,-1.2
2021,4,22,06:00,UTC,-,-,-,-1.3,-,-
2021,4,23,00:00,UTC,7.6,0,1.5,-,5.9,0.1
2021,4,23,06:00,UTC,-,-,-,0.1,-,-
2021,4,24,00:00,UTC,5.2,-1,1.9,-,5.2,0.6
2021,4,24,06:00,UTC,-,-,-,0.4,-,-
2021,4,25,00:00,UTC,4.1,-1,2.8,-,6.1,0.6
2021,4,25,06:00,UTC,-,-,-,0.7,-,-
