"STATION","NAME","DATE","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2020-03-29","62","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-03-30","63","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-03-31","67","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-01","64","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-02","67","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-03","64","33"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-04","58","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-05","57","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-06","58","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-07","64","35"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-08","61","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-09","64","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-10","68","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-11","57","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-12","65","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-13","72","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-14","81","34"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-15","77","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-16","65","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-17","63","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-18","65","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-19","64","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-20","67","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-21","70","38"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-22","79","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-23","81","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-24","83","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-25","83","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-26","75","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-27","82","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-28","83","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-29","77","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-04-30","78","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-01","78","41"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-02","72","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-03","73","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-04","80","36"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-05","77","37"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-06","83","40"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-07","88","42"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-08","91","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-09","71","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-10","69","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-11","66","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-12","67","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-13","62","46"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-14","67","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-15","76","46"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-16","76","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-17","72","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-18","67","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-19","72","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-20","72","43"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-21","78","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-22","76","46"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-23","83","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-24","87","47"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-25","94","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-26","98","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-27","89","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-28","79","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-29","72","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-30","76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-05-31","73","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-01","79","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-02","91","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-03","94","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-04","91","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-05","75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-06","74","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-07","74","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-08","82","44"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-09","89","45"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-10","88","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-11","85","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-12","74","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-13","75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-14","80","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-15","81","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-16","80","48"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-17","91","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-18","92","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-19","74","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-20","72","53"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-21","81","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-22","76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-23","77","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-24","77","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-25","76","58"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-26","77","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-27","74","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-28","78","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-29","83","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-06-30","81","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-01","74","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-02","72","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-03","74","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-04","87","49"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-05","86","51"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-06","73","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-07","82","60"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-08","83","54"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-09","84","55"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-10","82","56"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-11","90","52"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-12","88","50"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-13","72","57"
"USW00093227","NAPA CO AIRPORT, CA US","2020-07-14","73","56"
